template_id,template_name,category,source_alerts,source_type,spl_template,parameters,common_logic_summary,variation_summary
TPL-0001,A Brute Force Logins,authentication,"[""[33054]1003A_Brute Force Logins"", ""[UAT] 1003A_Brute Force Logins""]",saved_alert | index-scoped/mixed,"index = {{index}} host={{value}} | search (status={{value}} and (action={{value}} or action={{value}} or action={{value}})) | search not ([search index = {{index}} ticketnumber={{value}}* source = {{source}} | rename {{src_ip_field}} as {{src_ip_field}} | table {{src_ip_field}}]) | eval {{value}} = channelid | stats count(eval(clientid)) as failures latest({{value}}) as {{value}} by {{value}} ,fix_ticketnumber,fix_triggertime,{{value}}, {{value}}, {{value}}, {{value}}, fix_index, {{value}}, {{value}}, {{value}},{{value}} | where failures >= {{threshold}} | eval {{value}} = failures | sort {{value}}","{""index"": {""default"": ""g33054_citic_securities"", ""distinct_count"": 3, ""examples"": [""g33054_citic_securities"", ""ticket_summary"", ""uat_g33054_citic_securities*""]}, ""source"": {""default"": ""[UAT] 1003A_Brute Force Logins"", ""distinct_count"": 1, ""examples"": [""[UAT] 1003A_Brute Force Logins""]}, ""source_alert_metadata"": {""actions"": [""lookup, script"", ""logevent""], ""alert_count"": 2, ""alert_types"": [""number of events""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [false], ""schedules"": [""*/5 * * * *"", ""*/3 * * * *""], ""severities"": [3]}, ""src_ip_field"": {""default"": ""CLIENTIP"", ""distinct_count"": 2, ""examples"": [""CLIENTIP"", ""SourceIP""]}, ""threshold"": {""default"": ""8"", ""distinct_count"": 2, ""examples"": [""8"", ""5""]}, ""value"": {""default"": ""Securities"", ""distinct_count"": 6, ""examples"": [""Securities"", ""F"", ""ITRADELOGIN"", ""ITRADEANSWERQUESTION"", ""ANSWERSECURITYQUESTION"", ""33054*""]}}",selects events from parameterized index/source-type scope; aggregates events by detection entities; applies a threshold or condition before alerting.,index values differ (3 distinct); thresholds differ (2 distinct); schedules differ (2 distinct).
TPL-0002,A Login From Csb Office Ip Into Client Internet Account,authentication,"[""[33054]1004A_Login from CSB office IP into client internet account"", ""[UAT] 1004A_Login from CSB office IP into client internet account""]",saved_alert | index-scoped/mixed,"index = {{index}} host={{value}} | search (remarks !={{value}} and status={{value}} not [| inputlookup {{customer_source}}_clientip.csv | fields clientid]) | search not ([search index = {{index}} ticketnumber={{value}}* source = {{source}} | rename {{src_ip_field}} as {{src_ip_field}} | table {{src_ip_field}} | dedup {{src_ip_field}} ]) | eval {{value}} = case(cidrmatch({{value}},{{src_ip_field}}),{{value}},cidrmatch({{value}},{{src_ip_field}}),{{value}},cidrmatch({{value}},{{src_ip_field}}),{{value}},cidrmatch({{value}},{{src_ip_field}}),{{value}},cidrmatch({{value}},{{src_ip_field}}),{{value}},cidrmatch({{value}},{{src_ip_field}}),{{value}},cidrmatch({{value}},{{src_ip_field}}),{{value}},cidrmatch({{value}},{{src_ip_field}}),{{value}},cidrmatch({{value}},{{src_ip_field}}),{{value}},cidrmatch({{value}},{{src_ip_field}}),{{value}},cidrmatch({{value}},{{src_ip_field}}),{{value}},cidrmatch({{value}},{{src_ip_field}}),{{value}},cidrmatch({{value}},{{src_ip_field}}),{{value}},cidrmatch({{value}},{{src_ip_field}}),{{value}}) | eval {{value}} = channelid | stats dc(event_location) as count, latest({{value}}) as {{value}} by {{value}}, {{value}} ,fix_ticketnumber,fix_triggertime,{{value}}, {{value}}, {{value}}, {{value}}, fix_index, {{value}}, {{value}}, {{value}}, {{value}} | search {{value}} !={{value}} and {{value}} !={{value}} | where count>= {{threshold}} | sort {{value}}","{""index"": {""default"": ""g33054_citic_securities"", ""distinct_count"": 3, ""examples"": [""g33054_citic_securities"", ""ticket_summary"", ""uat_g33054_citic_securities*""]}, ""source"": {""default"": ""[UAT] 1004A_Login from CSB office IP into client internet account"", ""distinct_count"": 1, ""examples"": [""[UAT] 1004A_Login from CSB office IP into client internet account""]}, ""source_alert_metadata"": {""actions"": [""lookup, script"", ""logevent""], ""alert_count"": 2, ""alert_types"": [""number of events""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [false], ""schedules"": [""*/5 * * * *"", ""*/15 * * * *""], ""severities"": [3]}, ""src_ip_field"": {""default"": ""CLIENTIP"", ""distinct_count"": 2, ""examples"": [""CLIENTIP"", ""SourceIP""]}, ""threshold"": {""default"": ""1"", ""distinct_count"": 1, ""examples"": [""1""]}, ""value"": {""default"": ""Securities"", ""distinct_count"": 6, ""examples"": [""Securities"", ""Client Password Reset Success!"", ""S"", ""33054*"", ""index"", ""strftime""]}}",selects events from parameterized index/source-type scope; aggregates events by detection entities; checks a lookup/allowlist or suppresses known exceptions; applies a threshold or condition before alerting.,index values differ (3 distinct); schedules differ (2 distinct).
TPL-0003,A Multiple Accounts Login From Same Ip,authentication,"[""[33054]1001A_Multiple Accounts Login from Same IP"", ""[UAT] 1001A_Multiple Accounts Login from Same IP""]",saved_alert | index-scoped/mixed,"index = {{index}} host={{value}} | search not ([search index = {{index}} ticketnumber={{value}}* source = {{source}} | rename {{src_ip_field}} as {{src_ip_field}} | table {{src_ip_field}} | dedup {{src_ip_field}}]) | search (status={{value}} and remarks!= {{value}} and remarks!={{value}} and channelid!={{value}} and channelid!={{value}}) | search ({{src_ip_field}} !={{value}} and {{src_ip_field}} !={{value}}and {{src_ip_field}} !={{value}} and {{src_ip_field}} !={{value}}) | eval {{value}} = channelid | lookup 33054_rule_parameter.csv remarks output devicecustomstring4 | eval devicecustomstring4=if(remarks=={{value}} and channelid=={{value}}, mvindex(devicecustomstring4, 0),if(remarks=={{value}} and channelid!={{value}}, mvindex(devicecustomstring4, 1), devicecustomstring4)) | stats dc(clientid) as success list(clientid) as {{username_field}} list({{value}}) as time count(eval(devicecustomstring4={{value}})) as op count(eval(devicecustomstring4={{value}})) as of count(eval(devicecustomstring4={{value}})) as rp count(eval(devicecustomstring4={{value}})) as rf count(eval(devicecustomstring4={{value}})) as 2p count(eval(devicecustomstring4={{value}})) as 2f list({{value}}) as host list(channelid) as cid by {{value}} , fix_ticketnumber, fix_triggertime,{{value}}, {{value}},{{value}}, {{value}}, fix_index, {{value}} | search success >={{value}} and (op >={{value}} or of>={{value}} or rp>={{value}} or rf>={{value}} or 2p>={{value}} or 2f>={{value}}) | eval date_id_host = mvzip(mvzip(mvzip(time,{{username_field}}),host),cid) | mvexpand date_id_host | eval {{value}} = mvindex(split(date_id_host,{{value}}),3) | sort {{value}}, {{value}}","{""index"": {""default"": ""g33054*"", ""distinct_count"": 3, ""examples"": [""g33054*"", ""ticket_summary"", ""uat_g33054_citic_securities*""]}, ""source"": {""default"": ""[UAT] 1001A_Multiple Accounts Login from Same IP"", ""distinct_count"": 1, ""examples"": [""[UAT] 1001A_Multiple Accounts Login from Same IP""]}, ""source_alert_metadata"": {""actions"": [""lookup, script"", ""logevent""], ""alert_count"": 2, ""alert_types"": [""number of events""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [false], ""schedules"": [""4-59/5 * * * *"", ""*/6 * * * *""], ""severities"": [3]}, ""src_ip_field"": {""default"": ""CLIENTIP"", ""distinct_count"": 2, ""examples"": [""CLIENTIP"", ""SourceIP""]}, ""username_field"": {""default"": ""Username"", ""distinct_count"": 1, ""examples"": [""Username""]}, ""value"": {""default"": ""Securities"", ""distinct_count"": 6, ""examples"": [""Securities"", ""33054*"", ""S"", ""Login Success!"", ""Client Password Reset Success!"", ""QTSX""]}}",selects events from parameterized index/source-type scope; aggregates events by detection entities; checks a lookup/allowlist or suppresses known exceptions; applies a threshold or condition before alerting.,index values differ (3 distinct); schedules differ (2 distinct).
TPL-0004,A Repeated Login Failure Of Same Account Within Short Time,authentication,"[""[33054]1005A_Repeated Login Failure of Same Account Within Short Time"", ""[UAT] 1005A_Repeated Login Failure of Same Account Within Short Time""]",saved_alert | index-scoped/mixed,"index = {{index}} host={{value}} | search ((status={{value}} and remarks={{value}}) or (status={{value}} and action={{value}})) | search not ([search index = {{index}} ticketnumber={{value}}* source = {{source}} | rename {{src_ip_field}} as {{src_ip_field}} | table {{src_ip_field}} | dedup {{src_ip_field}}]) | eval {{value}} = channelid | stats count(eval(remarks={{value}})) as failures latest({{value}}) as {{value}} by {{value}} ,fix_ticketnumber,fix_triggertime,{{value}}, {{value}}, {{value}}, {{value}}, fix_index, {{value}}, {{value}}, {{value}},{{value}} | where failures >= {{threshold}} | eval {{value}} = failures | sort {{value}}","{""index"": {""default"": ""g33054_citic_securities"", ""distinct_count"": 3, ""examples"": [""g33054_citic_securities"", ""ticket_summary"", ""uat_g33054_citic_securities*""]}, ""source"": {""default"": ""[UAT] 1005A_Repeated Login Failure of Same Account Within Short Time"", ""distinct_count"": 1, ""examples"": [""[UAT] 1005A_Repeated Login Failure of Same Account Within Short Time""]}, ""source_alert_metadata"": {""actions"": [""lookup, script"", ""logevent""], ""alert_count"": 2, ""alert_types"": [""number of events""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [false], ""schedules"": [""*/5 * * * *"", ""*/3 * * * *""], ""severities"": [3]}, ""src_ip_field"": {""default"": ""CLIENTIP"", ""distinct_count"": 2, ""examples"": [""CLIENTIP"", ""SourceIP""]}, ""threshold"": {""default"": ""30"", ""distinct_count"": 1, ""examples"": [""30""]}, ""value"": {""default"": ""Securities"", ""distinct_count"": 6, ""examples"": [""Securities"", ""S"", ""The password is not valid error!"", ""ITRADELOGIN"", ""33054*"", ""index""]}}",selects events from parameterized index/source-type scope; aggregates events by detection entities; applies a threshold or condition before alerting.,index values differ (3 distinct); schedules differ (2 distinct).
TPL-0005,A User Login From Multiple Geolocation Within A Short Time,authentication,"[""[33054]1002A_User Login from Multiple Geolocation Within a Short Time"", ""[UAT] 1002A_User Login from Multiple Geolocation Within a Short Time""]",saved_alert | index-scoped/mixed,"index = {{index}} host={{value}} | search (remarks={{value}} and status={{value}}) | search not ([search index = {{index}} ticketnumber={{value}}* source = {{source}} | rename {{src_ip_field}} as {{src_ip_field}} | table {{src_ip_field}} | dedup {{src_ip_field}}]) | eval {{value}} = channelid | iplocation {{src_ip_field}} | stats dc(country) as country_count list(country) as country list({{value}}) as time list({{value}}) as ip list({{value}}) as dest by event_account_name, fix_ticketnumber, {{value}},{{value}}, {{value}},{{value}}, {{value}}, {{value}},{{value}}, {{value}} | where{{value}} !={{value}}and {{value}} !={{value}} | where country_count >= {{value}} | eval date_ip_dest_country = mvzip(mvzip(mvzip(time,ip),dest),country) | mvexpand date_ip_dest_country | eval {{value}}event_source ip{{value}} = mvindex(split(date_ip_dest_country,{{value}}),1) | sort event_account_name, {{value}} | dedup {{value}}, {{value}}","{""index"": {""default"": ""g33054_citic_securities"", ""distinct_count"": 3, ""examples"": [""g33054_citic_securities"", ""ticket_summary"", ""uat_g33054_citic_securities*""]}, ""source"": {""default"": ""[UAT] 1002A_User Login from Multiple Geolocation Within a Short Time"", ""distinct_count"": 1, ""examples"": [""[UAT] 1002A_User Login from Multiple Geolocation Within a Short Time""]}, ""source_alert_metadata"": {""actions"": [""lookup, script"", ""logevent""], ""alert_count"": 2, ""alert_types"": [""number of events""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [false], ""schedules"": [""*/5 * * * *"", ""*/3 * * * *""], ""severities"": [3]}, ""src_ip_field"": {""default"": ""CLIENTIP"", ""distinct_count"": 2, ""examples"": [""CLIENTIP"", ""SourceIP""]}, ""value"": {""default"": ""Securities"", ""distinct_count"": 6, ""examples"": [""Securities"", ""Client Password Verified Success!"", ""S"", ""33054*"", ""index"", ""strftime""]}}",selects events from parameterized index/source-type scope; aggregates events by detection entities; applies a threshold or condition before alerting.,index values differ (3 distinct); schedules differ (2 distinct).
TPL-0006,Admin Account Login In Non Working Hours,authentication,"[""[Haitong] 0403_Admin account login in non-working hours"", ""[NomuraPOC] 0403_Admin account login in non-working hours""]",saved_alert | sourcetype=pan:config,"index = {{index}} sourcetype = {{sourcetype}} | eval {{value}} = admin | eval {{value}} = cmd | eval {{value}} = type | eval {{value}} = {{value}} | eval {{value}} = path | eval hour = tonumber(strftime(_time,{{value}})) | eval trigger_alert = if(date_wday == {{value}} or date_wday == {{value}} or hour <= {{threshold}} or hour >= {{threshold}}, {{value}}, {{value}}) | where trigger_alert={{value}}","{""index"": {""default"": ""*48113*"", ""distinct_count"": 2, ""examples"": [""*48113*"", ""*48905*""]}, ""source_alert_metadata"": {""actions"": [""logevent""], ""alert_count"": 2, ""alert_types"": [""number of events""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [false, true], ""schedules"": [""*/15 * * * *""], ""severities"": [3]}, ""sourcetype"": {""default"": ""pan:config"", ""distinct_count"": 1, ""examples"": [""pan:config""]}, ""threshold"": {""default"": ""9"", ""distinct_count"": 2, ""examples"": [""9"", ""18""]}, ""value"": {""default"": ""index"", ""distinct_count"": 6, ""examples"": [""index"", ""strftime"", ""tonumber"", ""if"", ""Yes"", ""search.""]}}",selects events from parameterized index/source-type scope; applies a threshold or condition before alerting.,index values differ (2 distinct); thresholds differ (2 distinct); enabled and disabled variants are both present.
TPL-0007,Alicloud Security Center Suspicious Alert,authentication,"[""[Jebsen] 0072_Alicloud Security Center_Suspicious Alert"", ""[Jebsen] 0073_Alicloud Security Center_Remind Alert""]",saved_alert | index-scoped/mixed,index = {{index}} data_source in ({{value_set}}) and operation={{value}} and level={{value}} | eval {{value}} = operation | eval {{value}} = login_type | eval {{value}} = {{username_field}} | eval {{value}} = host_ip | eval {{value}} = data_source | eval {{value}} = level | eval {{value}} = detail | eval {{value}} = name | eval {{value}} = status | eval {{value}} = instance_name | eval {{value}} = entity_id | eval {{value}} = confidence | eval {{value}} = {{value}} | eval {{value}} = {{value}},"{""index"": {""default"": ""g49770_alicloud"", ""distinct_count"": 1, ""examples"": [""g49770_alicloud""]}, ""source_alert_metadata"": {""actions"": [""logevent""], ""alert_count"": 2, ""alert_types"": [""number of events""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [true], ""schedules"": [""*/15 * * * *""], ""severities"": [1, 3]}, ""username_field"": {""default"": ""username"", ""distinct_count"": 1, ""examples"": [""username""]}, ""value"": {""default"": ""new"", ""distinct_count"": 4, ""examples"": [""new"", ""suspicious"", ""strftime"", ""remind""]}}",selects events from parameterized index/source-type scope.,severities differ (2 distinct).
TPL-0008,Asa Client Ssl Vpn Connection Summary,authentication,"[""[Fubon] ASA Client SSL VPN Connection Summary"", ""[Fubon] ASA Client SSL VPN Connection Summary_Manually_Generation""]",saved_alert | sourcetype=cisco:asa,"index = {{index}} sourcetype = {{sourcetype}} | rex field=_raw {{value}} | search logtype in ({{value_set}}) | rex field=_raw {{value}} | rex field=_raw {{value}} | eval {{value}}=coalesce(user1, user2) | eval {{value}}=coalesce(srcip1, srcip2) | eval reason=coalesce(reason1, reason2) | eval result=case(match(logtype, {{value}}), {{value}}, match(logtype, {{value}}), {{value}}) | sort +_time | eval month=case(month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}) | eval date_hour = if(len(date_hour) < 2, {{value}} + date_hour, date_hour) | eval date_minute = if(len(date_minute) < 2, {{value}} + date_minute, date_minute) | eval date_second = if(len(date_second) < 2, {{value}} + date_second, date_second) | eval date=date_year + {{value}} + month + {{value}} + date_mday + {{value}} + date_hour + {{value}} + date_minute + {{value}} + date_second | stats count by date, {{value}}, {{value}}, result, reason | fields - count | sort by _time","{""index"": {""default"": ""g46781_vpn"", ""distinct_count"": 1, ""examples"": [""g46781_vpn""]}, ""source_alert_metadata"": {""actions"": [""email""], ""alert_count"": 2, ""alert_types"": [""always""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [false], ""schedules"": [""0 1 * * *""], ""severities"": [3]}, ""sourcetype"": {""default"": ""cisco:asa"", ""distinct_count"": 1, ""examples"": [""cisco:asa""]}, ""value"": {""default"": ""_raw"", ""distinct_count"": 6, ""examples"": [""_raw"", ""coalesce"", ""case"", ""Jan"", ""Feb"", ""Mar""]}}",selects events from parameterized index/source-type scope; aggregates events by detection entities; extracts or normalizes fields from raw/structured data; applies a threshold or condition before alerting.,source-specific values and alert metadata are consistent across the group.
TPL-0009,Asa Client Ssl Vpn Connection Summary Initial Csv,authentication,"[""[Fubon] ASA Client SSL VPN Connection Summary_Initial_CSV"", ""[Fubon] ASA Client SSL VPN Connection Summary_Overwrite_CSV_01"", ""[Fubon] ASA Client SSL VPN Connection Summary_Overwrite_CSV_02"", ""[Fubon] ASA Client SSL VPN Connection Summary_Overwrite_CSV_03""]",saved_alert | sourcetype=cisco:asa,"index = {{index}} sourcetype = {{sourcetype}} | rex field=_raw {{value}} | search logtype in ({{value_set}}) | rex field=_raw {{value}} | rex field=_raw {{value}} | eval {{value}}=coalesce(user1, user2) | eval {{value}}=coalesce(srcip1, srcip2) | eval reason=coalesce(reason1, reason2) | eval result=case(match(logtype, {{value}}), {{value}}, match(logtype, {{value}}), {{value}}) | sort +_time | eval month=case(month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}, month={{value}}, {{value}}) | eval date_hour = if(len(date_hour) < 2, {{value}} + date_hour, date_hour) | eval date_minute = if(len(date_minute) < 2, {{value}} + date_minute, date_minute) | eval date_second = if(len(date_second) < 2, {{value}} + date_second, date_second) | eval date=date_year + {{value}} + month + {{value}} + date_mday + {{value}} + date_hour + {{value}} + date_minute + {{value}} + date_second | stats count by date, {{value}}, {{value}}, result, reason | fields - count","{""index"": {""default"": ""g46781_vpn"", ""distinct_count"": 1, ""examples"": [""g46781_vpn""]}, ""source_alert_metadata"": {""actions"": [""(none)""], ""alert_count"": 4, ""alert_types"": [""number of events""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [false, true], ""schedules"": [""*/17 * * * *"", ""12 0 * * *"", ""32 0 * * *"", ""52 0 * * *""], ""severities"": [1]}, ""sourcetype"": {""default"": ""cisco:asa"", ""distinct_count"": 1, ""examples"": [""cisco:asa""]}, ""value"": {""default"": ""_raw"", ""distinct_count"": 6, ""examples"": [""_raw"", ""coalesce"", ""case"", ""Jan"", ""Feb"", ""Mar""]}}",selects events from parameterized index/source-type scope; aggregates events by detection entities; extracts or normalizes fields from raw/structured data; applies a threshold or condition before alerting.,schedules differ (4 distinct); enabled and disabled variants are both present.
TPL-0010,Aws Console Login Potential Brute Force Attack,authentication,"[""[G50137 Matrixport] 1516_AWS Console Login potential brute force attack"", ""[HKBitEx] 1707_AWS Console Login potential brute force attack""]",saved_alert | sourcetype=aws:cloudtrail,"index = {{index}} sourcetype = {{sourcetype}} eventname={{value}} action={{value}} | rex field=source {{value}} | stats min(_time) as firstseen max(_time) as lastseen count as failed_attempts values({{src_ip_field}}) as {{src_ip_field}} values(user_agent) as useragent by source_bucket, {{username_field}}, eventname, eventsource aws_account_id | where failed_attempts > {{value}} | rename source_bucket as {{value}} | eval firstseen=strftime(firstseen, {{value}}) | eval lastseen=strftime(lastseen, {{value}}) | rename {{src_ip_field}} as {{value}} | rename eventname as {{value}} | rename {{username_field}} as {{value}} | rename aws_account_id as {{value}} | rename eventsource as {{value}} | rename failed_attempts as {{value}} | rename useragent as {{value}} | sort - {{value}}","{""index"": {""default"": ""g50137_aws"", ""distinct_count"": 2, ""examples"": [""g50137_aws"", ""hkbitex_cloudtrail""]}, ""source_alert_metadata"": {""actions"": [""logevent, slack""], ""alert_count"": 2, ""alert_types"": [""number of events""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [true], ""schedules"": [""4,34 * * * *""], ""severities"": [4]}, ""sourcetype"": {""default"": ""aws:cloudtrail"", ""distinct_count"": 1, ""examples"": [""aws:cloudtrail""]}, ""src_ip_field"": {""default"": ""src_ip"", ""distinct_count"": 1, ""examples"": [""src_ip""]}, ""username_field"": {""default"": ""user_name"", ""distinct_count"": 1, ""examples"": [""user_name""]}, ""value"": {""default"": ""ConsoleLogin"", ""distinct_count"": 5, ""examples"": [""ConsoleLogin"", ""failure"", ""source"", ""strftime"", ""GID.""]}}",selects events from parameterized index/source-type scope; aggregates events by detection entities; extracts or normalizes fields from raw/structured data; applies a threshold or condition before alerting.,index values differ (2 distinct).
